Date,Open,High,Low,Close,Adj Close,Volume
2019-05-07,201.699997,202.850006,189.350006,190.949997,190.949997,30516908
2019-05-08,190.000000,190.899994,183.800003,185.100006,185.100006,28443735
2019-05-09,184.300003,189.800003,182.300003,186.350006,186.350006,32841616
2019-05-10,187.000000,190.600006,184.300003,185.899994,185.899994,28910719
2019-05-13,186.199997,187.149994,179.600006,180.750000,180.750000,15373536
2019-05-14,178.250000,186.050003,177.800003,184.500000,184.500000,21412933
2019-05-15,185.550003,185.949997,167.399994,169.449997,169.449997,31427815
2019-05-16,176.000000,177.550003,172.800003,175.399994,175.399994,30308248
2019-05-17,174.949997,177.699997,170.199997,176.850006,176.850006,21575989
2019-05-20,181.449997,192.000000,179.250000,190.149994,190.149994,29873588
2019-05-21,185.250000,186.899994,174.050003,176.800003,176.800003,57822527
2019-05-22,177.600006,180.399994,174.800003,179.100006,179.100006,25845734
2019-05-23,182.850006,182.850006,173.500000,175.149994,175.149994,22912106
2019-05-24,177.000000,183.500000,175.350006,182.300003,182.300003,22494409
2019-05-27,181.750000,183.500000,179.300003,181.350006,181.350006,14774311
2019-05-28,181.350006,185.300003,179.800003,180.250000,180.250000,23272915
2019-05-29,179.850006,180.000000,175.350006,176.350006,176.350006,15222008
2019-05-30,177.500000,178.500000,173.100006,175.149994,175.149994,18078726
2019-05-31,177.800003,177.850006,170.000000,172.600006,172.600006,21488115
2019-06-03,170.500000,175.000000,168.399994,174.500000,174.500000,21288078
2019-06-04,174.250000,177.199997,172.399994,173.250000,173.250000,17428731
2019-06-06,174.050003,175.850006,168.850006,169.699997,169.699997,16874819
2019-06-07,169.899994,171.699997,167.250000,169.500000,169.500000,14465703
2019-06-10,170.899994,172.050003,163.550003,166.199997,166.199997,20209862
2019-06-11,166.850006,171.899994,165.649994,170.750000,170.750000,20363493
2019-06-12,170.899994,172.199997,168.100006,169.050003,169.050003,12819208
2019-06-13,166.899994,168.899994,164.500000,167.399994,167.399994,15144315
2019-06-14,167.500000,167.500000,163.500000,164.199997,164.199997,10920508
2019-06-17,163.750000,164.149994,158.000000,158.750000,158.750000,14381813
2019-06-18,159.000000,161.000000,156.750000,158.300003,158.300003,14003043
2019-06-19,160.000000,163.750000,152.500000,154.649994,154.649994,25257018
2019-06-20,153.449997,160.000000,152.149994,159.250000,159.250000,19247947
2019-06-21,155.000000,160.750000,154.500000,158.899994,158.899994,23304207
2019-06-24,158.699997,160.199997,156.199997,159.300003,159.300003,13185118
2019-06-25,158.000000,161.000000,156.850006,160.449997,160.449997,13368928
2019-06-26,160.100006,162.199997,158.750000,161.100006,161.100006,18481332
2019-06-27,161.850006,168.000000,161.100006,165.850006,165.850006,26612983
2019-06-28,165.199997,166.750000,161.350006,162.550003,162.550003,15092229
2019-07-01,163.699997,169.399994,163.199997,168.000000,168.000000,23990900
2019-07-02,166.800003,167.350006,161.350006,163.750000,163.750000,16903683
2019-07-03,163.750000,165.000000,161.699997,162.300003,162.300003,13606179
2019-07-04,162.500000,167.750000,162.000000,165.199997,165.199997,19512938
2019-07-05,165.149994,166.949997,159.500000,160.199997,160.199997,14374084
2019-07-08,159.350006,159.500000,153.500000,154.550003,154.550003,15149035
2019-07-09,154.000000,157.149994,152.750000,155.800003,155.800003,16112345
2019-07-10,156.250000,156.250000,149.100006,151.649994,151.649994,31737846
2019-07-11,153.000000,157.699997,150.350006,156.800003,156.800003,24099895
2019-07-12,155.899994,162.850006,154.000000,159.300003,159.300003,27307153
2019-07-15,159.000000,162.600006,157.850006,160.949997,160.949997,19924720
2019-07-16,159.800003,170.949997,159.050003,170.000000,170.000000,39025331
2019-07-17,170.000000,172.350006,166.300003,167.899994,167.899994,25236730
2019-07-18,167.250000,167.250000,160.000000,160.750000,160.750000,19055022
2019-07-19,161.449997,162.399994,153.850006,154.850006,154.850006,18954216
2019-07-22,155.449997,159.300003,155.250000,156.750000,156.750000,15995349
2019-07-23,157.399994,159.000000,154.800003,156.199997,156.199997,12942555
2019-07-24,156.350006,157.550003,150.500000,151.250000,151.250000,16292964
2019-07-25,151.300003,152.500000,143.750000,144.300003,144.300003,34364032
2019-07-26,138.100006,150.149994,138.100006,147.149994,147.149994,83905651
2019-07-29,146.899994,146.899994,136.850006,137.550003,137.550003,38844222
2019-07-30,138.000000,139.699997,132.600006,133.449997,133.449997,35725524
2019-07-31,133.500000,136.399994,132.500000,135.600006,135.600006,27024859
2019-08-01,135.500000,136.300003,127.550003,129.550003,129.550003,38991424
2019-08-02,128.500000,133.199997,127.000000,130.699997,130.699997,44016138
2019-08-05,128.000000,128.199997,122.300003,123.750000,123.750000,35452262
2019-08-06,123.050003,126.550003,121.750000,122.500000,122.500000,34790369
2019-08-07,122.599998,123.849998,116.500000,117.400002,117.400002,37287779
2019-08-08,118.000000,125.000000,116.900002,124.050003,124.050003,35876237
2019-08-09,124.500000,126.500000,120.699997,122.050003,122.050003,39245417
2019-08-13,123.800003,126.300003,121.000000,121.949997,121.949997,35498118
2019-08-14,122.699997,123.800003,118.599998,120.900002,120.900002,30136178
2019-08-16,119.900002,122.449997,117.349998,121.349998,121.349998,35264621
2019-08-19,121.199997,122.599998,120.000000,120.800003,120.800003,23194786
2019-08-20,120.000000,124.800003,119.000000,123.849998,123.849998,34809225
2019-08-21,123.000000,123.000000,109.500000,112.400002,112.400002,83509593
2019-08-22,112.000000,114.000000,106.199997,107.699997,107.699997,58612708
2019-08-23,108.900002,111.599998,107.650002,111.050003,111.050003,41178606
2019-08-26,114.550003,115.400002,106.800003,110.550003,110.550003,47757623
2019-08-27,112.699997,121.400002,111.800003,120.349998,120.349998,70636441
2019-08-28,120.550003,124.000000,114.800003,116.349998,116.349998,74245952
2019-08-29,116.500000,118.500000,112.099998,114.300003,114.300003,48098849
2019-08-30,115.599998,117.300003,112.000000,116.699997,116.699997,42250518
2019-09-03,113.050003,115.349998,111.199997,112.650002,112.650002,36905736
2019-09-04,112.000000,113.000000,106.000000,109.500000,109.500000,76317447
2019-09-05,109.750000,119.349998,109.500000,118.050003,118.050003,75789807
2019-09-06,118.349998,122.300003,116.550003,121.250000,121.250000,67761586
2019-09-09,119.000000,122.599998,117.349998,121.900002,121.900002,51297512
2019-09-11,127.000000,135.000000,125.300003,134.350006,134.350006,96568372
2019-09-12,134.600006,135.350006,126.699997,127.949997,127.949997,72084195
2019-09-13,129.199997,130.949997,125.500000,129.550003,129.550003,69088728
2019-09-16,128.000000,130.300003,126.500000,128.600006,128.600006,40951047
2019-09-17,129.000000,130.500000,121.349998,122.000000,122.000000,47652658
2019-09-18,123.050003,125.900002,120.500000,121.750000,121.750000,53048836
2019-09-19,123.500000,125.349998,121.199997,124.199997,124.199997,51011848
2019-09-20,125.000000,137.750000,122.599998,133.250000,133.250000,89223235
2019-09-23,135.000000,138.399994,126.500000,127.900002,127.900002,51032391
2019-09-24,128.050003,132.199997,128.000000,130.899994,130.899994,41659100
2019-09-25,129.899994,129.899994,121.500000,123.050003,123.050003,47567575
2019-09-26,123.900002,127.250000,122.800003,124.500000,124.500000,45866398
2019-09-27,122.000000,122.449997,118.199997,119.900002,119.900002,45875793
2019-09-30,120.650002,120.849998,116.400002,117.449997,117.449997,32158885
2019-10-01,118.000000,119.849998,113.000000,115.300003,115.300003,40232789
2019-10-03,112.650002,123.500000,112.650002,122.400002,122.400002,65103359
2019-10-04,122.800003,123.800003,118.800003,119.650002,119.650002,35712218
2019-10-07,120.250000,120.550003,116.349998,117.500000,117.500000,35471184
2019-10-09,118.500000,121.699997,115.449997,120.900002,120.900002,44666296
2019-10-10,119.300003,119.699997,116.199997,116.800003,116.800003,31229192
2019-10-11,118.050003,122.199997,117.250000,121.300003,121.300003,41027561
2019-10-14,122.599998,130.000000,122.500000,127.849998,127.849998,68048611
2019-10-15,127.099998,128.899994,123.699997,126.949997,126.949997,57548920
2019-10-16,127.300003,128.300003,124.500000,125.849998,125.849998,31522518
2019-10-17,127.099998,144.350006,125.099998,139.500000,139.500000,67933615
2019-10-18,139.000000,141.800003,135.600006,136.850006,136.850006,64884113
2019-10-22,133.350006,135.600006,129.800003,131.750000,131.750000,53532482
2019-10-23,130.449997,133.800003,127.250000,132.649994,132.649994,50293574
2019-10-24,133.000000,135.149994,130.500000,133.500000,133.500000,41951668
2019-10-25,132.000000,133.000000,125.699997,126.849998,126.849998,42868958
2019-10-27,null,null,null,null,null,null
2019-10-29,151.899994,175.500000,151.199997,172.449997,172.449997,184435614
2019-10-30,175.000000,175.649994,166.550003,171.899994,171.899994,90759545
2019-10-31,169.800003,179.649994,168.949997,177.699997,177.699997,81392641
2019-11-01,175.199997,178.000000,172.399994,175.050003,175.050003,40613555
2019-11-04,171.600006,178.449997,170.850006,172.199997,172.199997,40641411
2019-11-05,173.250000,175.750000,169.949997,172.000000,172.000000,36268596
2019-11-06,172.000000,176.350006,170.500000,174.500000,174.500000,28923778
2019-11-07,174.699997,174.699997,167.600006,171.500000,171.500000,38625387
2019-11-08,170.750000,178.899994,167.800003,169.050003,169.050003,39102947
2019-11-11,169.199997,172.949997,169.050003,172.000000,172.000000,22192924
2019-11-13,171.500000,176.000000,169.399994,170.600006,170.600006,33926248
2019-11-14,170.199997,170.300003,165.500000,167.050003,167.050003,25433481
2019-11-15,169.000000,173.399994,167.350006,168.550003,168.550003,29614682
2019-11-18,172.100006,172.100006,169.250000,170.100006,170.100006,19053232
2019-11-19,170.800003,171.750000,167.100006,167.750000,167.750000,19599195
2019-11-20,167.750000,170.199997,166.199997,167.399994,167.399994,19504078
2019-11-21,166.949997,170.100006,163.000000,164.149994,164.149994,21609120
2019-11-22,164.899994,165.250000,160.550003,162.350006,162.350006,21200979
2019-11-25,160.699997,166.600006,159.899994,166.100006,166.100006,26131453
2019-11-26,166.649994,167.300003,162.550003,163.399994,163.399994,25520822
2019-11-27,165.300003,169.300003,165.000000,165.899994,165.899994,29527702
2019-11-28,165.750000,166.300003,163.550003,164.800003,164.800003,16609775
2019-11-29,164.800003,167.750000,160.600006,161.500000,161.500000,20010205
2019-12-02,160.949997,163.000000,158.949997,161.050003,161.050003,19441998
2019-12-03,162.949997,162.949997,157.399994,158.199997,158.199997,21156471
2019-12-04,158.500000,170.350006,157.699997,169.399994,169.399994,72084687
2019-12-05,170.350006,172.199997,165.199997,166.100006,166.100006,31787128
2019-12-06,167.000000,168.000000,160.050003,161.500000,161.500000,27727162
2019-12-09,162.000000,166.449997,159.750000,160.500000,160.500000,30920409
2019-12-10,162.149994,163.250000,159.050003,159.699997,159.699997,26259395
2019-12-11,160.399994,163.000000,157.399994,161.800003,161.800003,21154277
2019-12-12,163.449997,174.899994,162.500000,173.350006,173.350006,66138915
